time, problem, kernel_type, cmd
86.35243344306946, SWE, default, SWE/default_kernel/SWE_Default
77.61299777030945, SWE, generated, SWE/generated/SWE_Generated
63.38312768936157, Euler 2D, default, Euler2D/default_kernel/Euler2D_Default
60.42753601074219, Euler 2D, generated, Euler2D/generated/Euler2DGenerated
111.99806451797485, Euler 3D, default, Euler3D/default_kernel/Euler3D_Default
97.55015707015991, Euler 3D, generated, Euler3D/generated/Euler3D_Generated
86.22772598266602, SWE, default, SWE/default_kernel/SWE_Default
77.30516910552979, SWE, generated, SWE/generated/SWE_Generated
63.559677839279175, Euler 2D, default, Euler2D/default_kernel/Euler2D_Default
60.06611204147339, Euler 2D, generated, Euler2D/generated/Euler2DGenerated
111.53000521659851, Euler 3D, default, Euler3D/default_kernel/Euler3D_Default
97.95742130279541, Euler 3D, generated, Euler3D/generated/Euler3D_Generated
86.3534197807312, SWE, default, SWE/default_kernel/SWE_Default
76.93316602706909, SWE, generated, SWE/generated/SWE_Generated
63.07855415344238, Euler 2D, default, Euler2D/default_kernel/Euler2D_Default
60.11919546127319, Euler 2D, generated, Euler2D/generated/Euler2DGenerated
111.91406321525574, Euler 3D, default, Euler3D/default_kernel/Euler3D_Default
97.79566884040833, Euler 3D, generated, Euler3D/generated/Euler3D_Generated
86.4913420677185, SWE, default, SWE/default_kernel/SWE_Default
76.9496169090271, SWE, generated, SWE/generated/SWE_Generated
63.53936529159546, Euler 2D, default, Euler2D/default_kernel/Euler2D_Default
59.33888220787048, Euler 2D, generated, Euler2D/generated/Euler2DGenerated
112.10681509971619, Euler 3D, default, Euler3D/default_kernel/Euler3D_Default
97.66684341430664, Euler 3D, generated, Euler3D/generated/Euler3D_Generated
86.13607120513916, SWE, default, SWE/default_kernel/SWE_Default
78.56135678291321, SWE, generated, SWE/generated/SWE_Generated
63.36875247955322, Euler 2D, default, Euler2D/default_kernel/Euler2D_Default
59.88897919654846, Euler 2D, generated, Euler2D/generated/Euler2DGenerated
112.13218069076538, Euler 3D, default, Euler3D/default_kernel/Euler3D_Default
97.41531682014465, Euler 3D, generated, Euler3D/generated/Euler3D_Generated
86.1067636013031, SWE, default, SWE/default_kernel/SWE_Default
77.28684544563293, SWE, generated, SWE/generated/SWE_Generated
63.4860999584198, Euler 2D, default, Euler2D/default_kernel/Euler2D_Default
